,AIRPORT_ID,AIRPORT,station_id,distance
349,10812,BVR,USC00207277,1.578095885374421
350,10814,BVX,US1ARIN0011,2.782999362906567
351,10815,BVY,USW00054733,0.11369881320181044
352,10817,BWD,USC00411138,6.230402377638817
353,10819,BWG,USW00093808,0.37202975376761666
354,10821,BWI,USC00181125,999
355,10823,BWM,USC00320995,1.759892632444281
356,10825,BWS,USC00450729,4.611750026565379
357,10828,BXC,US1MAMD0012,5.4641494404555315
358,10832,BXS,USC00040986,3.812551225015828
359,10834,BYA,USC00500910,1.3030631908731967
360,10836,RKH,USW00053871,0.10076848615083978
361,10837,BYG,USW00094054,0.05528207662494743
362,10838,BYH,USW00013814,0.6040950051222718
363,10839,BYI,USW00024133,0.46435947720117415
364,10841,MI5,USC00200925,0.8185910000577037
365,10844,BYW,US1WASJ0043,0.9167690836553355
366,10849,BZN,USW00024132,1.3632618728579613
367,10852,BZS,US1DCDC0009,1.6699661614501942
368,10853,BZT,USC00417957,7.289470973434876
369,10857,C01,USW00023136,1.0800894042259366
370,10858,C02,USC00040439,6.7716441564696686
371,10867,CAD,USW00014817,2.067349271717633
372,10868,CAE,US1SCLX0067,0.7609382154018729
373,10874,CAK,USW00014895,0.8862355971988636
374,10879,CAR,USW00014607,0.13518444969433016
375,10886,CBA,USR0000AHON,6.929668642936115
376,10888,CBE,US1MDAL0003,2.718981855655823
377,10889,CBF,US1IAPT0007,3.311970879754232
378,10892,CBK,USC00141696,0.5183449654177377
379,10894,CBM,USW00013825,0.6511066424515072
380,10910,CCR,USW00023254,0.2780342063905375
381,10915,CCY,USC00131402,5.123997574880423
382,10917,CDB,USW00025603,0.7649695605598164
383,10918,CDC,USW00093129,0.9490256444692089
384,10921,CDH,US1AROC0011,6.1082209968847065
385,10923,CDL,USC00501230,2.8699783212448726
386,10924,CDN,US1SCKR0003,1.768878548314104
387,10925,CDR,USW00024017,0.0018106273721331233
388,10926,CDV,USW00026410,1.4774012410650093
389,10927,CDW,USW00054743,0.19032425983871867
390,10928,CEA,US1KSSG0074,2.163577171813565
391,10930,CEC,USW00024286,0.0037047643342660087
392,10933,CEF,USW00014703,0.6891174504407641
393,10938,CEM,USC00501466,1.0713679883896836
394,10945,CEU,USW00053850,0.06296201378895525
395,10946,CEV,US1INFY0003,1.650102878927855
396,10947,CEW,USW00013884,0.09395526900218044
397,10948,CEX,USC00501574,0.41415464849204975
398,10949,CEY,USC00155694,8.170770899148069
399,10950,CEZ,USW00093069,0.04935555628239215
400,10951,CFA,None,999
401,10958,CFT,USR0000AGUT,12.380069860047799
402,10960,CFV,USW00093967,0.5810180342908174
403,10961,CGA,USC00502227,0.3995463655229887
404,10964,CGE,USC00181385,4.380873570178106
405,10965,CGF,US1OHCY0004,1.2116306831968
406,10967,CGI,USW00003935,0.020793290890282545
407,10975,CGS,USC00187615,1.8128983936072258
408,10977,CGX,USC00111550,0.3544249380153452
409,10979,CGZ,US1AZPN0033,1.7046001127832109
410,10980,CHA,USW00013882,0.5059764159234822
411,10982,CHD,US1AZMR0409,2.0412934036280386
412,10986,CHI,USC00111648,2.810316590682152
413,10987,CHL,USW00004114,0.25832260101867416
414,10990,CHO,USW00093736,0.1420314767515478
415,10991,CHP,USC00501987,1.6688054210588377
416,10994,CHS,USW00013880,0.0238767926237318
417,10996,CHU,None,999
418,10999,CHZ,USC00351571,1.0854708948234035
419,11001,CIB,USW00023191,0.003091931606548842
420,11002,CIC,US1CABT0017,2.877931258814042
421,11003,CID,USW00014990,0.5104468591121761
422,11004,CIG,USW00024046,0.04795070779233261
423,11007,CIK,USC00501475,1.656650955352522
424,11008,CIL,USC00502217,1.7674066446978793
425,11009,CIN,USC00131233,5.459533796027292
426,11011,CIR,USW00093809,3.8688446824777536
427,11013,CIU,USW00094824,0.45521323252591095
428,11014,CIV,None,999
429,11021,CJI,USC00507447,7.730180672707952
430,11026,CJW,US1KSCY0006,2.4966047029652882
431,11027,CKB,USW00003802,0.2703000679971211
432,11028,CKD,USC00502247,1.8378118991414003
433,11029,CKE,USC00041806,4.906165368119733
434,11031,CKM,None,999
435,11034,CKU,USS0045L01S,1.499261947432475
436,11035,CKV,USW00003894,0.448574343307197
437,11036,CKX,USR0000ACKN,1.3003998091511397
438,11040,CLC,US1TXHRR217,1.1842044389005368
439,11041,CLD,USW00003177,0.0615635930183981
440,11042,CLE,USW00014820,0.5987441216022666
441,11043,CLF,USC00500299,6.145723662063692
442,11044,CLG,USC00041867,5.910489370201374
443,11046,CLI,USC00471676,1.7365188041474382
444,11048,CLK,USC00341909,5.743478464722296
445,11049,CLL,USW00003904,0.10150325688733419
446,11050,CLM,USW00094266,0.10553439626546765
447,11053,CLP,None,999
448,11055,CLR,None,999
449,11056,CLS,USC00451330,1.1391107662658917
450,11057,CLT,USW00013881,1.2418436380811138
451,11058,CLU,USW00013803,0.6130250368695541
452,11066,CMH,USW00014821,1.1511785457388464
453,11067,CMI,USW00094870,0.09015451293199277
454,11076,CMX,USW00014858,0.03583341268993261
455,11081,CNE,USC00056410,4.2331673354497985
456,11083,CNK,USW00013984,0.2764838944824224
457,11085,CNM,USW00093033,0.6551887968613771
458,11086,CNO,USW00003179,0.06950643016130444
459,11090,CNW,USW00013928,0.8640911278069519
460,11092,CNY,USW00093075,0.045254896633467094
461,11093,CO3,USW00093217,0.4838891664619973
462,11095,COA,US1CATM0004,1.5295139235891855
463,11097,COD,US1WYPK0028,1.1548834259558054
464,11098,COE,USW00024136,0.8846751297370684
465,11099,COF,USW00012867,0.9970958221462093
466,11105,COM,USC00411875,3.0530040203541535
467,11106,CON,USW00014745,0.835927113405258
468,11109,COS,USC00051777,0.7810843388560191
469,11110,COT,USW00012947,0.14269927074623007
470,11111,COU,USW00003945,0.17791282436113268
471,11122,CPR,USW00024089,0.9260426834750339
472,11123,CPS,USW00003960,0.0022915201204130927
473,11126,CPX,None,999
474,11128,CQL,US1COGF0050,3.6421410222575816
475,11130,HCW,USC00381588,7.054071651616962
476,11135,CRE,USW00093718,0.0038432260805587315
477,11136,CRG,USW00053860,0.04039020589133236
478,11140,CRP,USC00412011,0.8331600517633437
479,11143,CRS,USW00053912,0.37253512902351316
480,11146,CRW,USW00013866,0.4774359844489042
481,11147,CRX,USC00221962,4.183193220307433
482,11149,CSE,US1COGN0031,1.7718404928730944
483,11150,CSG,USC00092159,0.21579341101349328
484,11152,CSM,US1OKWH0005,2.608968772912644
485,11153,CSN,US1NVCC0007,2.1270980926982843
486,11154,CSP,USC00501334,0.34012716899426565
487,11158,CSU,None,999
488,11159,CSV,USW00003847,0.33039384497918195
489,11162,CTB,USW00024137,0.5624958081332999
490,11165,CTH,USC00361591,0.8004907436472957
491,11169,CTO,USC00300364,4.8862158461597724
492,11173,CTW,US1AZYV0018,1.2987776984748425
493,11174,CTX,USC00301799,2.7145299131796676
494,11175,CTY,USC00082008,0.25678705482212216
495,11176,CUB,USW00053867,0.04837986929145674
496,11188,CUW,None,999
497,11191,CVA,USW00014809,0.004653401081332627
498,11193,CVG,USW00093814,0.7269171608752143
499,11197,CVN,US1NMCR0017,6.393610955990933
500,11198,CVO,US1ORBN0085,4.522718036927452
501,11200,CVS,USW00023008,0.5392933312530873
502,11202,CVX,USC00201468,1.5235335372113221
503,11203,CWA,USC00474282,7.250519417162148
504,11207,CWI,US1IACN0005,5.613344079150534
505,11209,CWS,US1WASJ0044,5.197446864427295
506,11213,CXC,USR0000ACHT,5.739878880101975
507,11214,CXF,USC00502104,0.728458437138598
508,11218,CXL,USC00041288,5.468928287548615
509,11219,CXO,USW00053902,0.3887068609663694
510,11227,CYF,None,999
511,11230,CYM,None,999
